gen,pop_size,cwmin,cwmax,slotlength,txPower,TotalLostPackets_media,delayMedio_media,throughputMedioBPS_media
50, 10, 0, 0, 0, 0, 84.00857142857144, 0.00784114968075143, 2150478225.8790197
1, 15, 0, 0, 0, 0, 67.71238095238094, 0.0059218771772590485, 2124623901.6667714
2, 15, 0, 0, 0, 0, 95.87619047619049, 0.006034261171508571, 1956282389.6721902
3, 15, 0, 0, 0, 0, 132.9009523809524, 0.0058963033189923806, 1845696357.6398447
4, 15, 0, 0, 0, 0, 155.07047619047623, 0.006161839095142857, 1638157532.333691
5, 15, 0, 0, 0, 0, 99.65904761904766, 0.005265869297813333, 1756556587.6993988
6, 15, 0, 0, 0, 0, 107.6266666666667, 0.004939399076344762, 1808356670.5819502
7, 15, 0, 0, 0, 0, 88.65333333333338, 0.0052329513968342855, 1780095341.5614862
8, 15, 0, 0, 0, 0, 137.79047619047614, 0.0057642919633619045, 1710146481.5413644
9, 15, 0, 0, 0, 0, 184.2323809523809, 0.005488648151889524, 1752436687.1283562
10, 15, 0, 0, 0, 0, 246.9561904761904, 0.005340623774194285, 1783852662.7471664
11, 15, 0, 0, 0, 0, 120.92000000000002, 0.005389981222302858, 1802679893.5132291
12, 15, 0, 0, 0, 0, 128.6761904761905, 0.005902773064441905, 1797185483.6682239
13, 15, 0, 0, 0, 0, 125.93523809523812, 0.006272824599965714, 1757810252.6057029
14, 15, 0, 0, 0, 0, 90.40000000000003, 0.006221617698672382, 1625683684.4990983
15, 15, 0, 0, 0, 0, 113.07238095238095, 0.0060567104095047624, 1664172830.1571982
16, 15, 0, 0, 0, 0, 105.52190476190476, 0.006065639224544764, 1694899273.725519
17, 15, 0, 0, 0, 0, 103.58857142857143, 0.006621668057554284, 1718796064.9729025
18, 15, 0, 0, 0, 0, 68.89142857142856, 0.0065820812634819065, 1753466033.9321773
19, 15, 0, 0, 0, 0, 106.71999999999998, 0.0069545722719676194, 1577892864.4528642
20, 15, 0, 0, 0, 0, 84.61142857142856, 0.008133110047815239, 1425591699.396578
21, 15, 0, 0, 0, 0, 80.17523809523809, 0.008512547278525713, 1370770179.4411986
22, 15, 0, 0, 0, 0, 122.85714285714286, 0.009815106337946668, 1237242721.623145
23, 15, 0, 0, 0, 0, 101.25904761904762, 0.009685207729900952, 1270233885.2571282
24, 15, 0, 0, 0, 0, 64.9904761904762, 0.00829862378784762, 1455735745.3822734
25, 15, 0, 0, 0, 0, 106.70857142857146, 0.009041423709175243, 1438906277.1275604
26, 15, 0, 0, 0, 0, 207.51428571428568, 0.010738898931708573, 1179046196.219681
27, 15, 0, 0, 0, 0, 142.65523809523808, 0.009691941817708574, 1408713930.727574
28, 15, 0, 0, 0, 0, 106.96380952380953, 0.009603141337626667, 1440227207.342366
29, 15, 0, 0, 0, 0, 80.61142857142859, 0.00847556649652762, 1780760142.4605825
30, 15, 0, 0, 0, 0, 93.70666666666668, 0.008947095464011429, 1681388827.258314
31, 15, 0, 0, 0, 0, 82.48380952380953, 0.008224666050493334, 2040739243.2068374
32, 15, 0, 0, 0, 0, 94.12761904761905, 0.008813974155977143, 1791954619.2230036
33, 15, 0, 0, 0, 0, 83.52380952380953, 0.009366651654066667, 1707470637.3116822
34, 15, 0, 0, 0, 0, 36.64190476190476, 0.007151573932838095, 2254329632.1034093
35, 15, 0, 0, 0, 0, 53.39619047619047, 0.006984379961011427, 1712879968.8110206
36, 15, 0, 0, 0, 0, 21.5847619047619, 0.005369682335641903, 1969930104.1351388
37, 15, 0, 0, 0, 0, 55.287619047619046, 0.00491384520590857, 1980245776.114579
38, 15, 0, 0, 0, 0, 132.78476190476192, 0.005010653457531428, 1825922615.8320007
39, 15, 0, 0, 0, 0, 86.35428571428571, 0.005446091581942856, 1906152708.0258641
40, 15, 0, 0, 0, 0, 72.80000000000001, 0.0066246999061752385, 1778702299.0960693
41, 15, 0, 0, 0, 0, 80.08, 0.006640178680942857, 1931589343.3865793
42, 15, 0, 0, 0, 0, 109.95809523809523, 0.006953332350211428, 1751581937.8729227
43, 15, 0, 0, 0, 0, 86.9238095238095, 0.00730380526838857, 1941569553.036898
44, 15, 0, 0, 0, 0, 76.1390476190476, 0.006605267309308569, 2253217507.779726
45, 15, 0, 0, 0, 0, 82.5504761904762, 0.00691881679254476, 2458710095.1790752
46, 15, 0, 0, 0, 0, 59.07428571428569, 0.006423200843100952, 2504879837.812798
47, 15, 0, 0, 0, 0, 91.32761904761905, 0.007205656404771428, 2104961425.2625072
48, 15, 0, 0, 0, 0, 109.24761904761905, 0.008409358229859047, 1848459573.3844001
49, 15, 0, 0, 0, 0, 67.79809523809521, 0.008042515313388572, 1899837707.5965886
